study,cell,original_cell,task,side,selected_for_24_pair_view,terminal,native_reward,functional_tests,reported_functional_tests,native_tests,failed_tests,cleanup_status,resources_removed,archive_readable,requests,known_input,known_output,known_total,unknown_usage_requests,known_cache_read,unknown_cache_read_requests,known_cache_write,unknown_cache_write_requests,known_reasoning,native_execution_seconds,wrapper_execution_seconds,verifier_stage_seconds,queue_seconds,preparation_queue_seconds,agent_queue_seconds,verifier_queue_seconds,request_interval_union_seconds,time_before_first_data_union_seconds,first_data_p50_seconds,first_data_p95_seconds,request_p50_seconds,request_p95_seconds,oom_events,flags,manual_finding,evidence_sha256
v9,0000,0000,terminal-bench-2.1/polyglot-c-py,baseline,True,True,1.0,started,started,"{""passed"":1}",[],completed,True,True,62,1207180,4347,1211527,0,1067584,0,0,62,1694,409.266,410.403,2854.1995964050293,13.122256627073511,0.006287114112637937,13.11586909997277,,304.8452272415161,199.57682013511658,1.9829590320587158,8.010261058807373,3.015765905380249,11.475754022598267,0,,,f3b7d0bf92c083163cdc3b7f85a225693bc4373d8b07511830a2e84e17b8a869
v9,0001,0001,terminal-bench-2.1/polyglot-c-py,candidate,True,True,0.0,unknown,unknown,{},[],completed,True,True,19,635965,3066,639031,0,584064,0,0,19,1306,,626.87,20.45178407698404,26.45660061587114,1.3641438719350845,25.092364465002902,,158.29467272758484,93.00077533721924,4.766870498657227,10.56083059310913,7.794248819351196,24.420912981033325,0,verifier_setup_failure,,d44d8a2b7447f27d6524f22f8561573d6f4d17c35107699936696d3e3ebcf9b8
v9,0002,0002,deepswe-1.1/drizzle-orm-window-function-builders,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,109.85155312204733,2.642840408021584,107.2086624710355,,0.0,0.0,,,,,0,network_start_failure;score_missing,,58cc666faa3a33d3b38053743cd7d547f7e3947c6017d46eaeac8d113b16217a
v9,0003,0003,deepswe-1.1/drizzle-orm-window-function-builders,baseline,True,True,0.0,started,started,"{""passed"":692,""failed"":4}","[""[f2p] tests/olympus/window.test.ts: AC9 - Fluent .window() select builder API > SingleStoreQueryBuilder .window() adds WINDOW clause with backtick identifiers"",""[f2p] tests/olympus/window.test.ts: SingleStore dialect - window function support > WINDOW clause appears before ORDER BY in SingleStore"",""[f2p] tests/olympus/window.test.ts: SingleStore dialect - window function support > multiple named windows in SingleStore are comma-separated with backticks"",""[f2p] tests/olympus/window.test.ts: SingleStore dialect - window function support > named window in SingleStore SELECT compiles with backtick identifiers""]",completed,True,True,320,23108454,286748,23395202,0,18406720,0,0,320,11539,3428.682,3430.466,13.398035697056912,28.27006039209664,0.02632776799146086,28.216651106020436,0.027033121092244983,3303.03010058403,1236.246750831604,3.219003438949585,8.44270658493042,6.6595786809921265,66.28323984146118,0,functional_test_failures,"Baseline Drizzle native execution completed, reward 0; 692 native tests pass and 4 fail. All failures concern SingleStore WINDOW clause/query-builder named-window behavior and backtick identifiers; native patch retained. This is observed implementation/test failure, unlike startup or transport failures.",608c78680dbb0f6536e2b3733f2a44217022f7c1fc9458a1555296406d81a706
v9,0004,0004,terminal-bench-2.1/make-doom-for-mips,baseline,False,True,0.0,unknown,unknown,{},[],completed,True,True,136,5918336,129230,6047566,2,4169280,2,0,136,14174,1941.26,2001.295,20.220693390932865,7.116160139092244,0.005320102092809975,7.110797564033419,,1804.6614482402802,471.90800952911377,3.400391697883606,6.811452627182007,5.951347589492798,118.18615865707397,0,observer_idle_timeout_diagnostic;verifier_setup_failure;native_execution_error,,f955f7b9696e14027cfcd28e0adbda5f06f08131debd15401e5dcf825160252e
v9,0005,0005,terminal-bench-2.1/make-doom-for-mips,candidate,True,True,1.0,started,started,"{""passed"":3}",[],completed,True,True,169,20328363,104486,20432849,0,17406976,0,0,169,64381,,4522.114,209.64563796902075,36.78577552293427,1.5592000089818612,35.226532998960465,,2944.747902870178,762.3205413818359,3.9560866355895996,8.980036735534668,7.450010776519775,65.69759798049927,0,,Candidate Doom native reward 1 and all 3 tests passed. Native execution 4522.114 seconds; cleanup completed and owned resources removed.,9de87e778d00f75ab885feee02f53497036edf63bd4681f8a1f1000a2376c28c
v9,0006,0006,deepswe-1.1/superjson-error-stack-serialization,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,122.36979113589041,3.6357414548983797,118.73400926298928,,0.0,0.0,,,,,0,network_start_failure;score_missing,,2f79f8764d79e50c1773cd682525694fd330704a0365132515443972d3a25d67
v9,0007,0007,deepswe-1.1/superjson-error-stack-serialization,baseline,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,148.94879990105983,7.131681540980935,141.81707938201725,,0.0,0.0,,,,,0,network_start_failure;score_missing,,3887ea5890da4b5117edc802715b78339002487755be6e28b54951a1cccec74d
v9,0008,0008,deepswe-1.1/bandit-incremental-cache-control,baseline,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,129.08344353700522,3.832576956017874,125.25082816905342,,0.0,0.0,,,,,0,network_start_failure;score_missing,,109009fd0759ba7d36761a6b182cd501ba9a092bc98bd897f5c048f01a8769e9
v9,0009,0009,deepswe-1.1/bandit-incremental-cache-control,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,113.01745582895819,3.3885895089479163,109.62881755200215,,0.0,0.0,,,,,0,network_start_failure;score_missing,,f5f0784ff66e9bede334f0cdf54c6e01250b3516f4230b83992ac151b9e5a5ef
v9,0010,0010,deepswe-1.1/mobly-grouped-test-barriers,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,118.3017580199521,3.8576891870470718,114.44402615097351,,0.0,0.0,,,,,0,network_start_failure;score_missing,,ec818e607a6b0fe20b5b963524ea93ad082c549f293c3110b0ff283b0cf922a6
