study,cell,original_cell,task,side,terminal,native_reward,functional_tests,known_input,known_output,known_total,unknown_usage_requests,known_cache_read,known_reasoning,requests,native_execution_seconds,wrapper_execution_seconds,queue_seconds,oom_events,flags,manual_finding
v9,0000,0000,terminal-bench-2.1/polyglot-c-py,baseline,True,1.0,started,1207180,4347,1211527,0,1067584,1694,62,409.266,410.403,13.122256627073511,0,,
v9,0001,0001,terminal-bench-2.1/polyglot-c-py,candidate,True,0.0,unknown,635965,3066,639031,0,584064,1306,19,,626.87,26.45660061587114,0,verifier_setup_failure,
v9,0002,0002,deepswe-1.1/drizzle-orm-window-function-builders,candidate,True,,unknown,0,0,0,0,0,0,0,,,109.85155312204733,0,network_start_failure;score_missing,
v9,0003,0003,deepswe-1.1/drizzle-orm-window-function-builders,baseline,True,0.0,started,23108454,286748,23395202,0,18406720,11539,320,3428.682,3430.466,28.27006039209664,0,functional_test_failures,"Baseline Drizzle native execution completed, reward 0; 692 native tests pass and 4 fail. All failures concern SingleStore WINDOW clause/query-builder named-window behavior and backtick identifiers; native patch retained. This is observed implementation/test failure, unlike startup or transport failures."
v9,0004,0004,terminal-bench-2.1/make-doom-for-mips,baseline,True,0.0,unknown,5918336,129230,6047566,2,4169280,14174,136,1941.26,2001.295,7.116160139092244,0,observer_idle_timeout_diagnostic;verifier_setup_failure;native_execution_error,
v9,0005,0005,terminal-bench-2.1/make-doom-for-mips,candidate,True,1.0,started,20328363,104486,20432849,0,17406976,64381,169,,4522.114,36.78577552293427,0,,Candidate Doom native reward 1 and all 3 tests passed. Native execution 4522.114 seconds; cleanup completed and owned resources removed.
v9,0006,0006,deepswe-1.1/superjson-error-stack-serialization,candidate,True,,unknown,0,0,0,0,0,0,0,,,122.36979113589041,0,network_start_failure;score_missing,
v9,0007,0007,deepswe-1.1/superjson-error-stack-serialization,baseline,True,,unknown,0,0,0,0,0,0,0,,,148.94879990105983,0,network_start_failure;score_missing,
v9,0008,0008,deepswe-1.1/bandit-incremental-cache-control,baseline,True,,unknown,0,0,0,0,0,0,0,,,129.08344353700522,0,network_start_failure;score_missing,
v9,0009,0009,deepswe-1.1/bandit-incremental-cache-control,candidate,True,,unknown,0,0,0,0,0,0,0,,,113.01745582895819,0,network_start_failure;score_missing,
v9,0010,0010,deepswe-1.1/mobly-grouped-test-barriers,candidate,True,,unknown,0,0,0,0,0,0,0,,,118.3017580199521,0,network_start_failure;score_missing,
v9,0011,0011,deepswe-1.1/mobly-grouped-test-barriers,baseline,True,0.0,started,5234701,176032,5410733,0,4209664,22224,70,1907.864,1959.5,54.85253153683152,0,native_execution_error;functional_test_failures,
v9,0012,0012,deepswe-1.1/sqlfmt-create-table-ddl-formatting,baseline,True,,unknown,0,0,0,0,0,0,0,,,120.78009421285242,0,network_start_failure;score_missing,
v9,0013,0013,deepswe-1.1/sqlfmt-create-table-ddl-formatting,candidate,True,,unknown,0,0,0,0,0,0,0,,,126.4727794759674,0,network_start_failure;score_missing,
v9,0014,0014,terminal-bench-2.1/compile-compcert,candidate,True,1.0,started,16309026,16507,16325533,0,13329920,3020,277,,2908.656,1.0949143171310425,7,,"Candidate CompCert native reward 1, all 3 native tests passed; cleanup completed and resources removed."
v9,0015,0015,terminal-bench-2.1/compile-compcert,baseline,True,1.0,started,2308484,7256,2315740,0,1799168,2256,113,2905.189,2906.559,33.10301433701534,8,,"Baseline CompCert native reward 1, all 3 native tests passed; cleanup completed and resources removed."
v9,0016,0016,terminal-bench-2.1/adaptive-rejection-sampler,baseline,True,0.0,started,1797213,89991,1887204,1,1357696,7483,80,2980.664,3040.798,41.95127058913931,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,"Baseline adaptive-rejection-sampler native APIError/ECONNRESET and exact Bun.serve 10-second request-timeout diagnostic. Native reward 0; all 9 tests failed, with ars.R absent. This has confirmed evaluator-observer interference; do not label pure solving failure. Cleanup completed and resources removed."
v9,0017,0017,terminal-bench-2.1/adaptive-rejection-sampler,candidate,True,1.0,started,1083928,13461,1097389,0,939136,1569,26,,1729.073,22.12312674394343,0,,"Candidate adaptive-rejection-sampler native reward 1, all 9 native tests passed; cleanup completed and resources removed."
v9,0018,0018,deepswe-1.1/fd-deterministic-multi-key-sorting,candidate,True,,unknown,0,0,0,0,0,0,0,,,95.33731953194365,0,network_start_failure;score_missing,
v9,0019,0019,deepswe-1.1/fd-deterministic-multi-key-sorting,baseline,True,,unknown,0,0,0,0,0,0,0,,,116.0721375560388,0,network_start_failure;score_missing,
v9,0020,0020,terminal-bench-2.1/financial-document-processor,baseline,True,0.0,unknown,1009516,3739,1013255,0,880576,1013,53,1660.566,1663.635,38.94365818600636,0,verifier_setup_failure,
v9,0021,0021,terminal-bench-2.1/financial-document-processor,candidate,True,1.0,started,1651778,5065,1656843,0,1382912,1974,39,,655.844,4.180066986009479,0,,"Candidate financial-document native reward 1, all 7 native tests passed; cleanup completed and resources removed."
v9,0022,0022,terminal-bench-2.1/mailman,candidate,True,1.0,started,17612370,63960,17676330,0,14629760,29228,183,,3743.959,63.358752702130005,34,,"Candidate mailman native reward 1, all 3 native tests passed; cleanup completed and resources removed."
v9,0023,0023,terminal-bench-2.1/mailman,baseline,True,1.0,started,1215503,8326,1223829,0,994240,4417,53,585.769,586.88,19.14787913695909,0,,"Baseline mailman native reward 1, all 3 native tests passed; cleanup completed and resources removed."
v9,0024,0024,local24-repro-v6/mcmc-sampling-stan,baseline,True,1.0,started,5490216,15549,5505765,0,4095168,5002,232,2816.871,2824.206,16.112150468863547,0,,"Baseline Stan native reward 1, all 6 native tests passed; cleanup completed and resources removed."
v9,0025,0025,local24-repro-v6/mcmc-sampling-stan,candidate,True,1.0,started,2051196,5231,2056427,0,1446464,1235,45,,1949.93,67.34047754399944,0,,"Candidate Stan native reward 1, all 6 native tests passed; cleanup completed and resources removed."
v9,0026,0026,terminal-bench-2.1/large-scale-text-editing,candidate,True,0.0,unknown,510559,3041,513600,0,483968,1511,16,,347.705,52.3224279951537,0,verifier_setup_failure,
v9,0027,0027,terminal-bench-2.1/large-scale-text-editing,baseline,True,1.0,started,152356,2018,154374,0,106816,1343,9,136.816,139.968,10.238130379933864,0,,
v9,0028,0028,terminal-bench-2.1/feal-linear-cryptanalysis,baseline,True,0.0,started,664337,47838,712175,1,548864,19392,18,1342.872,1369.07,44.24242175207473,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,
v9,0029,0029,terminal-bench-2.1/feal-linear-cryptanalysis,candidate,True,0.0,started,955852,19395,975247,0,817152,14394,17,,1352.581,83.50470763992053,0,native_execution_error;functional_test_failures,"Candidate FEAL exits with native UnknownError: Agent worker failed to start after 6 consecutive attempts; native execution exit 2 and verifier reward 0 because plaintexts.txt is absent. Exact underlying worker-start cause is unresolved. Retained resource evidence has zero observed OOM events; do not infer OOM, relay timeout, pure model-solving failure, or evaluator whole-cell retries from this error."
v9,0030,0030,terminal-bench-2.1/openssl-selfsigned-cert,candidate,True,1.0,started,207504,1442,208946,0,197184,71,9,,256.588,58.13174241699744,0,,
v9,0031,0031,terminal-bench-2.1/openssl-selfsigned-cert,baseline,True,1.0,started,186105,1005,187110,0,178176,9,11,108.773,112.137,74.16781162796542,0,,
v9,0032,0032,deepswe-1.1/valibot-recursive-schema-composition,baseline,True,0.0,started,8242396,177743,8420139,0,6220160,131733,127,5127.883,5143.254,76.97153209708631,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,"Baseline Valibot native APIError/ECONNRESET and exact Bun.serve 10-second request-timeout diagnostic. Native reward 0; retained model.patch is empty, 209 P2P pass and all 10 F2P fail. This has confirmed evaluator-observer interference; do not label pure solving failure. Cleanup completed and resources removed."
v9,0033,0033,deepswe-1.1/valibot-recursive-schema-composition,candidate,True,,unknown,0,0,0,0,0,0,0,,,125.42305313295219,0,network_start_failure;score_missing,
v9,0034,0034,local24-repro-v6/build-cython-ext,candidate,True,0.0,started,1148002,4825,1152827,0,1040768,706,29,,400.877,86.53221863997169,0,functional_test_failures,
v9,0035,0035,local24-repro-v6/build-cython-ext,baseline,True,1.0,started,1822403,8598,1831001,0,1530752,2379,81,556.211,557.44,48.68837766512297,0,,
v9,0036,0036,deepswe-1.1/katex-multicolumn-array-spans,baseline,True,,unknown,0,0,0,0,0,0,0,,,131.1620627939701,0,network_start_failure;score_missing,
v9,0037,0037,deepswe-1.1/katex-multicolumn-array-spans,candidate,True,,unknown,0,0,0,0,0,0,0,,,102.24943452491425,0,network_start_failure;score_missing,
v9,0038,0038,terminal-bench-2.1/path-tracing-reverse,candidate,True,1.0,started,13224139,232508,13456647,0,10519104,178055,68,,5000.79,91.53676423511934,0,,"Candidate path-tracing-reverse native reward 1. Native tests image_c_exists, image_compiles and image_similarity all pass; pytest reports 1.62 seconds. Native execution 5000.790 seconds, complete agent wrapper stage 5163.015 seconds and verifier stage 307.700 seconds; wrapper duration must not be mislabeled pure model time. Archive audit valid; cleanup completed and owned resources removed."
v9,0039,0039,terminal-bench-2.1/path-tracing-reverse,baseline,True,1.0,started,11844480,290694,12135174,0,8971904,266031,123,7451.358,7453.031,68.51669279392809,0,observer_idle_timeout_diagnostic,"Baseline path-tracing-reverse completed with native reward 1 and all 3 tests passed (source present, compilation, image similarity; pytest 2.33 seconds). Native execution 7451.358 seconds; observer wrapper 7453.031 seconds; agent stage 7457.556 seconds; verifier stage 85.833 seconds. One exact Bun 10-second observer-timeout diagnostic exists, but no terminal native error and all 123 observed requests reconcile with known usage. Preserve this diagnostic without calling the successful cell an execution failure or asserting its counterfactual effect. Archive valid, resources removed."
v9,0040,0040,deepswe-1.1/dasel-html-document-format,baseline,True,,unknown,0,0,0,0,0,0,0,,,105.43737663596403,0,network_start_failure;score_missing,
v9,0041,0041,deepswe-1.1/dasel-html-document-format,candidate,True,,unknown,0,0,0,0,0,0,0,,,139.26793062803335,0,network_start_failure;score_missing,
v9,0042,0042,deepswe-1.1/kcp-go-multiplexed-kcp-streams,candidate,True,,unknown,0,0,0,0,0,0,0,,,136.56992481288034,0,network_start_failure;score_missing,
