task,side,batch,cell,source_commit,evaluator_commit,terminal,native_reward,functional_tests,reported_tests_passed,reported_tests_failed,missing_result_placeholders,actual_test_review,requests,input_tokens,output_tokens,total_tokens,cache_read_tokens,cache_write_tokens,reasoning_tokens,uncached_input_tokens,solve_seconds,native_execution_seconds,verifier_seconds,queue_seconds,stage_queues_seconds,observed_oom_events,recording,native_recording,archive_readable,archive_receipt_present,recorded_evidence_valid,resource_observation_error_count,failure_reason
terminal-bench-2.1/polyglot-c-py,baseline,v9,0000,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,1,0,,,62,1207180,4347,1211527,1067584,,1694,139596,410.403,409.266,2854.1995964050293,13.122256627073511,"{""agent"": 13.11586909997277, ""preparation"": 0.006287114112637937}",0,,,True,,,,
terminal-bench-2.1/polyglot-c-py,candidate,local24_candidate_20260924,0000,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,1,0,0,"{""failed"": 0, ""passed"": 1, ""started"": true, ""suite_seconds"": 0.39}",22,683810,3077,686887,551680,,1071,132130,1758.643,1753.515,48.5294873510029,13.128349880003952,"{""agent"": 10.925619640998775, ""preparation"": 2.2026047600047605}",0,complete,complete,True,True,True,1,
deepswe-1.1/drizzle-orm-window-function-builders,baseline,v9,0003,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,0.0,started,692,4,,,320,23108454,286748,23395202,18406720,,11539,4701734,3430.466,3428.682,13.398035697056912,28.27006039209664,"{""agent"": 28.216651106020436, ""preparation"": 0.02632776799146086, ""verifier"": 0.027033121092244983}",0,,,True,,,,
deepswe-1.1/drizzle-orm-window-function-builders,candidate,local24_candidate_20260924,0001,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,696,0,0,"{""graded_failed"": 0, ""graded_passed"": 696, ""graded_total"": 696, ""started"": true}",59,3163359,24313,3187672,2767040,,7408,396319,991.272,986.109,20.668409204001364,887.8718680609963,"{""agent"": 573.4981226009986, ""preparation"": 314.2257967539954, ""verifier"": 0.1478158700010681}",0,partial,partial,True,True,True,1,
terminal-bench-2.1/make-doom-for-mips,baseline,v11,0000,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,1.0,started,3,0,,,198,12315681,60858,12376539,9185728,,34634,3129953,2968.191,2967.558,75.51860868395306,7.732942880014889,"{""agent"": 7.72675639600493, ""preparation"": 0.005966940079815686}",0,,,True,,,,
terminal-bench-2.1/make-doom-for-mips,candidate,local24_candidate_20260924,0002,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,2,1,0,"{""failed"": 1, ""passed"": 2, ""started"": true, ""suite_seconds"": 1.48}",166,18131776,75708,18207484,11378304,,46144,6753472,4235.826,4222.656,58.958040588000586,16.34791875400333,"{""agent"": 14.154616077001265, ""preparation"": 2.193167353001627}",3,partial,partial,True,True,True,1,native_reward_0
deepswe-1.1/superjson-error-stack-serialization,baseline,v10,0002,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,0.0,started,191,5,,,47,1621672,19965,1641637,1227200,,8820,394472,638.836,635.485,400.6318567720009,398.4803492981009,"{""agent"": 6.870202060090378, ""preparation"": 1.1145178220467642, ""verifier"": 390.4955789549276}",0,,,True,,,,
deepswe-1.1/superjson-error-stack-serialization,candidate,local24_candidate_20260924,0003,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,191,5,0,"{""graded_failed"": 5, ""graded_passed"": 191, ""graded_total"": 196, ""started"": true}",46,2322172,25801,2347973,2074112,,11480,248060,846.687,842.755,110.24032556600287,108.71301962500002,"{""agent"": 6.975039885001024, ""preparation"": 0.02162805799889611, ""verifier"": 101.71623537699998}",0,complete,complete,True,True,True,0,native_reward_0
deepswe-1.1/bandit-incremental-cache-control,baseline,v10,0003,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,1.0,started,363,0,,,117,6485342,27590,6512932,5488640,,5539,996702,1254.267,1253.057,57.16998338303529,1068.9760397230275,"{""agent"": 1065.9032000090228, ""preparation"": 2.9929044030141085, ""verifier"": 0.0798913809703663}",0,,,True,,,,
deepswe-1.1/bandit-incremental-cache-control,candidate,local24_candidate_20260924,0004,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,363,0,0,"{""graded_failed"": 0, ""graded_passed"": 363, ""graded_total"": 363, ""started"": true}",76,4487776,26546,4514322,4049216,,6909,438560,1091.485,1085.9,53.788461668998934,24.80219953499909,"{""agent"": 4.130723048998334, ""preparation"": 20.583841057003156, ""verifier"": 0.08752341099898331}",0,partial,partial,True,True,True,0,
